source_id	module	source_database	source_version	release_or_retrieval_date	record_scope	historical_snapshot_status	legacy_parser_or_workflow
interpro	protein_annotation	InterPro	snapshot 2026-08-03	2026-08-03	family and superfamily annotation	HISTORICAL_SNAPSHOT_NOT_IN_CURRENT_PACKAGE	NOT_RETAINED
pfam	protein_annotation	Pfam	snapshot 2026-08-03	2026-08-03	fallback structural-family annotation	HISTORICAL_SNAPSHOT_NOT_IN_CURRENT_PACKAGE	NOT_RETAINED
reactome	protein_annotation	Reactome	97	frozen snapshot	pathway hierarchy	HISTORICAL_SNAPSHOT_NOT_IN_CURRENT_PACKAGE	NOT_RETAINED
mondo	disease_ontology	MONDO	2026-07-06	2026-07-06	canonical disease identity and exact cross-references	HISTORICAL_SNAPSHOT_NOT_IN_CURRENT_PACKAGE	NOT_RETAINED
disease_ontology	disease_ontology	Disease Ontology	2026-07-31	2026-07-31	disease hierarchy and anatomical derivation support	HISTORICAL_SNAPSHOT_NOT_IN_CURRENT_PACKAGE	NOT_RETAINED
uberon	anatomy_ontology	Uberon	frozen OBO snapshot	frozen snapshot	multi-label disease-anatomy mapping	HISTORICAL_SNAPSHOT_NOT_IN_CURRENT_PACKAGE	NOT_RETAINED
open_targets	disease_evidence	Open Targets Platform	26.06	2026-06	target-disease evidence channels and therapeutic areas	HISTORICAL_SNAPSHOT_NOT_IN_CURRENT_PACKAGE	NOT_RETAINED
uniprot_disease	disease_evidence	UniProtKB disease annotation	2026_02	frozen snapshot	curated protein-disease annotation	HISTORICAL_SNAPSHOT_NOT_IN_CURRENT_PACKAGE	legacy_handoff/04_CODE/C_USER_ROOT_SCRIPTS/fetch_uniprot_disease_v54.py
alphafold	structure_model	AlphaFold Protein Structure Database	model version 6	metadata retrieved 2026-08	predicted protein models and pLDDT confidence	HISTORICAL_SNAPSHOT_NOT_IN_CURRENT_PACKAGE	legacy_handoff/04_CODE/D_finale_CODE_AND_DOCS/MemPro_M1_M8_AGENT_REPRO_20260806/08_reproducibility/scripts/fetch_alphafold_confidence.py
mempro	derived_annotation	MemPro	V7.2.1	2026-08-19	provenance normalization, chemical classes, role inference and B/C orientation	DERIVED_FROM_FROZEN_FORMAL_TABLES	workflow/W01-W04
htp	membrane_identity	Human Transmembrane Proteome (HTP)	HTP D2.2	2026-07-24	formal canonical protein with HTP transmembrane flag	HISTORICAL_SNAPSHOT_NOT_IN_CURRENT_PACKAGE	NOT_RETAINED
membranome	membrane_identity	Membranome	version not exposed; retrieval-dated API snapshot	2026-07-24	formal canonical protein with Membranome segment flag	SNAPSHOT_PRESENT	legacy_handoff/04_CODE/D_7.22_CODE_AND_DOCS/membrane_master_v5_working/raw/membranome_main.js
pdbtm	membrane_structure_evidence	PDBTM	UniTmp/PDBTM retrieval-dated XML snapshot	2026-07-24	formal canonical protein with PDBTM flag	HISTORICAL_SNAPSHOT_NOT_IN_CURRENT_PACKAGE	NOT_RETAINED
opm	membrane_structure_evidence	OPM	version not exposed; retrieval-dated API snapshot	2026-07-24	formal canonical protein with OPM integral or peripheral flag	SNAPSHOT_PRESENT	legacy_handoff/04_CODE/D_7.22_CODE_AND_DOCS/membrane_master_v5_working/raw/opm_main.js
