"layer"	"object"	"table"	"record_count"	"column_order"	"column_name"
"relation"	"complex_assembly"	"complex_assembly_v72.tsv.gz"	"4584"	"1"	"complex_assembly_id"
"relation"	"complex_assembly"	"complex_assembly_v72.tsv.gz"	"4584"	"2"	"complex_target_id"
"relation"	"complex_assembly"	"complex_assembly_v72.tsv.gz"	"4584"	"3"	"biological_assembly_id"
"relation"	"complex_assembly"	"complex_assembly_v72.tsv.gz"	"4584"	"4"	"assembly_status"
"relation"	"complex_assembly"	"complex_assembly_v72.tsv.gz"	"4584"	"5"	"component_set_status"
"relation"	"complex_assembly"	"complex_assembly_v72.tsv.gz"	"4584"	"6"	"contributing_databases"
"relation"	"complex_assembly"	"complex_assembly_v72.tsv.gz"	"4584"	"7"	"source_complex_ids"
"relation"	"complex_assembly"	"complex_assembly_v72.tsv.gz"	"4584"	"8"	"release_version"
"relation"	"complex_assembly"	"complex_assembly_v72.tsv.gz"	"4584"	"9"	"complex_module_status_v72"
"relation"	"complex_assembly"	"complex_assembly_v72.tsv.gz"	"4584"	"10"	"complex_module_inclusion_v72"
"relation"	"complex_assembly"	"complex_assembly_v72.tsv.gz"	"4584"	"11"	"record_retained_v72"
"relation"	"complex_assembly"	"complex_assembly_v72.tsv.gz"	"4584"	"12"	"release_version_v72"
"evidence"	"complex_binding_evidence"	"complex_binding_evidence_v72.tsv.gz"	"24954"	"1"	"complex_binding_candidate_id"
"evidence"	"complex_binding_evidence"	"complex_binding_evidence_v72.tsv.gz"	"24954"	"2"	"source_entity_id"
"evidence"	"complex_binding_evidence"	"complex_binding_evidence_v72.tsv.gz"	"24954"	"3"	"source_database"
"evidence"	"complex_binding_evidence"	"complex_binding_evidence_v72.tsv.gz"	"24954"	"4"	"source_complex_id"
"evidence"	"complex_binding_evidence"	"complex_binding_evidence_v72.tsv.gz"	"24954"	"5"	"evidence_scope"
"evidence"	"complex_binding_evidence"	"complex_binding_evidence_v72.tsv.gz"	"24954"	"6"	"evidence_type"
"evidence"	"complex_binding_evidence"	"complex_binding_evidence_v72.tsv.gz"	"24954"	"7"	"compound_name_or_id_raw"
"evidence"	"complex_binding_evidence"	"complex_binding_evidence_v72.tsv.gz"	"24954"	"8"	"compound_internal_id"
"evidence"	"complex_binding_evidence"	"complex_binding_evidence_v72.tsv.gz"	"24954"	"9"	"compound_mapping_status"
"evidence"	"complex_binding_evidence"	"complex_binding_evidence_v72.tsv.gz"	"24954"	"10"	"complex_specificity_status"
"evidence"	"complex_binding_evidence"	"complex_binding_evidence_v72.tsv.gz"	"24954"	"11"	"pubmed_ids"
"evidence"	"complex_binding_evidence"	"complex_binding_evidence_v72.tsv.gz"	"24954"	"12"	"default_release_inclusion"
"evidence"	"complex_binding_evidence"	"complex_binding_evidence_v72.tsv.gz"	"24954"	"13"	"review_reason"
"evidence"	"complex_binding_evidence"	"complex_binding_evidence_v72.tsv.gz"	"24954"	"14"	"complex_target_id"
"evidence"	"complex_binding_evidence"	"complex_binding_evidence_v72.tsv.gz"	"24954"	"15"	"source_compound_id_type"
"evidence"	"complex_binding_evidence"	"complex_binding_evidence_v72.tsv.gz"	"24954"	"16"	"source_compound_id"
"evidence"	"complex_binding_evidence"	"complex_binding_evidence_v72.tsv.gz"	"24954"	"17"	"candidate_entity_type"
"evidence"	"complex_binding_evidence"	"complex_binding_evidence_v72.tsv.gz"	"24954"	"18"	"mapped_compound_preferred_name"
"evidence"	"complex_binding_evidence"	"complex_binding_evidence_v72.tsv.gz"	"24954"	"19"	"source_name_identifier_consistency"
"evidence"	"complex_binding_evidence"	"complex_binding_evidence_v72.tsv.gz"	"24954"	"20"	"complex_relation_directness_status"
"evidence"	"complex_binding_evidence"	"complex_binding_evidence_v72.tsv.gz"	"24954"	"21"	"module_version"
"evidence"	"complex_binding_evidence"	"complex_binding_evidence_v72.tsv.gz"	"24954"	"22"	"v7_entity_assignment"
"evidence"	"complex_binding_evidence"	"complex_binding_evidence_v72.tsv.gz"	"24954"	"23"	"v7_disposition"
"evidence"	"complex_binding_evidence"	"complex_binding_evidence_v72.tsv.gz"	"24954"	"24"	"v7_reason"
"evidence"	"complex_binding_evidence"	"complex_binding_evidence_v72.tsv.gz"	"24954"	"25"	"binding_target_scope_v71"
"evidence"	"complex_binding_evidence"	"complex_binding_evidence_v72.tsv.gz"	"24954"	"26"	"binding_component_id_v71"
"evidence"	"complex_binding_evidence"	"complex_binding_evidence_v72.tsv.gz"	"24954"	"27"	"release_layer_v71"
"evidence"	"complex_binding_evidence"	"complex_binding_evidence_v72.tsv.gz"	"24954"	"28"	"release_version"
"evidence"	"complex_binding_evidence"	"complex_binding_evidence_v72.tsv.gz"	"24954"	"29"	"complex_module_status_v72"
"evidence"	"complex_binding_evidence"	"complex_binding_evidence_v72.tsv.gz"	"24954"	"30"	"complex_module_inclusion_v72"
"evidence"	"complex_binding_evidence"	"complex_binding_evidence_v72.tsv.gz"	"24954"	"31"	"record_retained_v72"
"evidence"	"complex_binding_evidence"	"complex_binding_evidence_v72.tsv.gz"	"24954"	"32"	"release_version_v72"
"relation"	"complex_component"	"complex_component_v72.tsv.gz"	"14825"	"1"	"component_identifier"
"relation"	"complex_component"	"complex_component_v72.tsv.gz"	"14825"	"2"	"component_entity_type"
"relation"	"complex_component"	"complex_component_v72.tsv.gz"	"14825"	"3"	"component_uniprot_id"
"relation"	"complex_component"	"complex_component_v72.tsv.gz"	"14825"	"4"	"component_uniprot_isoform_id"
"relation"	"complex_component"	"complex_component_v72.tsv.gz"	"14825"	"5"	"copy_count"
"relation"	"complex_component"	"complex_component_v72.tsv.gz"	"14825"	"6"	"stoichiometry_status"
"relation"	"complex_component"	"complex_component_v72.tsv.gz"	"14825"	"7"	"component_assertion_id"
"relation"	"complex_component"	"complex_component_v72.tsv.gz"	"14825"	"8"	"source_entity_id"
"relation"	"complex_component"	"complex_component_v72.tsv.gz"	"14825"	"9"	"source_database"
"relation"	"complex_component"	"complex_component_v72.tsv.gz"	"14825"	"10"	"source_complex_id"
"relation"	"complex_component"	"complex_component_v72.tsv.gz"	"14825"	"11"	"component_index"
"relation"	"complex_component"	"complex_component_v72.tsv.gz"	"14825"	"12"	"component_relation"
"relation"	"complex_component"	"complex_component_v72.tsv.gz"	"14825"	"13"	"required_subunit_status"
"relation"	"complex_component"	"complex_component_v72.tsv.gz"	"14825"	"14"	"optional_subunit_status"
"relation"	"complex_component"	"complex_component_v72.tsv.gz"	"14825"	"15"	"membrane_component_flag"
"relation"	"complex_component"	"complex_component_v72.tsv.gz"	"14825"	"16"	"complex_target_id"
"relation"	"complex_component"	"complex_component_v72.tsv.gz"	"14825"	"17"	"component_gene_symbol"
"relation"	"complex_component"	"complex_component_v72.tsv.gz"	"14825"	"18"	"protein_membrane_evidence_level"
"relation"	"complex_component"	"complex_component_v72.tsv.gz"	"14825"	"19"	"protein_website_default_flag"
"relation"	"complex_component"	"complex_component_v72.tsv.gz"	"14825"	"20"	"component_gene_entity_id_v0_4"
"relation"	"complex_component"	"complex_component_v72.tsv.gz"	"14825"	"21"	"component_canonical_protein_entity_id_v0_4"
"relation"	"complex_component"	"complex_component_v72.tsv.gz"	"14825"	"22"	"component_isoform_entity_id_v0_4"
"relation"	"complex_component"	"complex_component_v72.tsv.gz"	"14825"	"23"	"component_reference_level_v0_4"
"relation"	"complex_component"	"complex_component_v72.tsv.gz"	"14825"	"24"	"component_resolution_rule_v0_4"
"relation"	"complex_component"	"complex_component_v72.tsv.gz"	"14825"	"25"	"component_identity_review_flag_v0_4"
"relation"	"complex_component"	"complex_component_v72.tsv.gz"	"14825"	"26"	"source_accession_original_v64"
"relation"	"complex_component"	"complex_component_v72.tsv.gz"	"14825"	"27"	"accession_patch_status_v64"
"relation"	"complex_component"	"complex_component_v72.tsv.gz"	"14825"	"28"	"release_version_v64"
"relation"	"complex_component"	"complex_component_v72.tsv.gz"	"14825"	"29"	"release_version"
"relation"	"complex_component"	"complex_component_v72.tsv.gz"	"14825"	"30"	"complex_module_status_v72"
"relation"	"complex_component"	"complex_component_v72.tsv.gz"	"14825"	"31"	"complex_module_inclusion_v72"
"relation"	"complex_component"	"complex_component_v72.tsv.gz"	"14825"	"32"	"record_retained_v72"
"relation"	"complex_component"	"complex_component_v72.tsv.gz"	"14825"	"33"	"release_version_v72"
"annotation"	"complex_state"	"complex_state_v72.tsv.gz"	"4584"	"1"	"complex_state_id"
"annotation"	"complex_state"	"complex_state_v72.tsv.gz"	"4584"	"2"	"complex_target_id"
"annotation"	"complex_state"	"complex_state_v72.tsv.gz"	"4584"	"3"	"state_name"
"annotation"	"complex_state"	"complex_state_v72.tsv.gz"	"4584"	"4"	"state_condition"
"annotation"	"complex_state"	"complex_state_v72.tsv.gz"	"4584"	"5"	"state_dependent_assembly_status"
"annotation"	"complex_state"	"complex_state_v72.tsv.gz"	"4584"	"6"	"release_version"
"annotation"	"complex_state"	"complex_state_v72.tsv.gz"	"4584"	"7"	"complex_module_status_v72"
"annotation"	"complex_state"	"complex_state_v72.tsv.gz"	"4584"	"8"	"complex_module_inclusion_v72"
"annotation"	"complex_state"	"complex_state_v72.tsv.gz"	"4584"	"9"	"record_retained_v72"
"annotation"	"complex_state"	"complex_state_v72.tsv.gz"	"4584"	"10"	"release_version_v72"
"relation"	"complex_stoichiometry"	"complex_stoichiometry_v72.tsv.gz"	"14825"	"1"	"stoichiometry_assertion_id"
"relation"	"complex_stoichiometry"	"complex_stoichiometry_v72.tsv.gz"	"14825"	"2"	"complex_target_id"
"relation"	"complex_stoichiometry"	"complex_stoichiometry_v72.tsv.gz"	"14825"	"3"	"component_assertion_id"
"relation"	"complex_stoichiometry"	"complex_stoichiometry_v72.tsv.gz"	"14825"	"4"	"component_entity_type"
"relation"	"complex_stoichiometry"	"complex_stoichiometry_v72.tsv.gz"	"14825"	"5"	"component_identifier"
"relation"	"complex_stoichiometry"	"complex_stoichiometry_v72.tsv.gz"	"14825"	"6"	"copy_count"
"relation"	"complex_stoichiometry"	"complex_stoichiometry_v72.tsv.gz"	"14825"	"7"	"stoichiometry_status"
"relation"	"complex_stoichiometry"	"complex_stoichiometry_v72.tsv.gz"	"14825"	"8"	"source_database"
"relation"	"complex_stoichiometry"	"complex_stoichiometry_v72.tsv.gz"	"14825"	"9"	"source_complex_id"
"relation"	"complex_stoichiometry"	"complex_stoichiometry_v72.tsv.gz"	"14825"	"10"	"release_version"
"relation"	"complex_stoichiometry"	"complex_stoichiometry_v72.tsv.gz"	"14825"	"11"	"complex_module_status_v72"
"relation"	"complex_stoichiometry"	"complex_stoichiometry_v72.tsv.gz"	"14825"	"12"	"complex_module_inclusion_v72"
"relation"	"complex_stoichiometry"	"complex_stoichiometry_v72.tsv.gz"	"14825"	"13"	"record_retained_v72"
"relation"	"complex_stoichiometry"	"complex_stoichiometry_v72.tsv.gz"	"14825"	"14"	"release_version_v72"
"entity"	"compound_form"	"compound_form_v72.tsv.gz"	"649792"	"1"	"compound_form_id"
"entity"	"compound_form"	"compound_form_v72.tsv.gz"	"649792"	"2"	"compound_internal_id"
"entity"	"compound_form"	"compound_form_v72.tsv.gz"	"649792"	"3"	"form_type"
"entity"	"compound_form"	"compound_form_v72.tsv.gz"	"649792"	"4"	"exact_smiles"
"entity"	"compound_form"	"compound_form_v72.tsv.gz"	"649792"	"5"	"exact_inchi"
"entity"	"compound_form"	"compound_form_v72.tsv.gz"	"649792"	"6"	"exact_inchikey"
"entity"	"compound_form"	"compound_form_v72.tsv.gz"	"649792"	"7"	"exact_identity_key"
"entity"	"compound_form"	"compound_form_v72.tsv.gz"	"649792"	"8"	"molecular_formula"
"entity"	"compound_form"	"compound_form_v72.tsv.gz"	"649792"	"9"	"molecular_weight"
"entity"	"compound_form"	"compound_form_v72.tsv.gz"	"649792"	"10"	"formal_charge"
"entity"	"compound_form"	"compound_form_v72.tsv.gz"	"649792"	"11"	"source_record_count"
"entity"	"compound_form"	"compound_form_v72.tsv.gz"	"649792"	"12"	"source_databases"
"entity"	"compound_form"	"compound_form_v72.tsv.gz"	"649792"	"13"	"source_compound_ids"
"entity"	"compound_form"	"compound_form_v72.tsv.gz"	"649792"	"14"	"chembl_parent_ids"
"entity"	"compound_form"	"compound_form_v72.tsv.gz"	"649792"	"15"	"chembl_parent_alignment_status"
"entity"	"compound_form"	"compound_form_v72.tsv.gz"	"649792"	"16"	"record_qc_status"
"entity"	"compound_form"	"compound_form_v72.tsv.gz"	"649792"	"17"	"qc_notes"
"entity"	"compound_form"	"compound_form_v72.tsv.gz"	"649792"	"18"	"release_version_v11"
"entity"	"compound_form"	"compound_form_v72.tsv.gz"	"649792"	"19"	"parent_inchikey_v12"
"entity"	"compound_form"	"compound_form_v72.tsv.gz"	"649792"	"20"	"parent_relation_v12"
"entity"	"compound_form"	"compound_form_v72.tsv.gz"	"649792"	"21"	"standardization_status_v12"
"entity"	"compound_form"	"compound_form_v72.tsv.gz"	"649792"	"22"	"release_version_v12"
"entity"	"compound_form"	"compound_form_v72.tsv.gz"	"649792"	"23"	"negative_identity_refresh_v13"
"entity"	"compound_form"	"compound_form_v72.tsv.gz"	"649792"	"24"	"release_version_v13"
"entity"	"compound_form"	"compound_form_v72.tsv.gz"	"649792"	"25"	"release_date_v13"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"1"	"compound_internal_id"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"2"	"preferred_name"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"3"	"preferred_name_source"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"4"	"compound_scope_status"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"5"	"compound_scope_class"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"6"	"identity_confidence"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"7"	"standard_smiles"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"8"	"standard_inchi"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"9"	"standard_inchikey"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"10"	"identity_key"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"11"	"connectivity_key"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"12"	"molecular_formula"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"13"	"molecular_weight"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"14"	"exact_mass"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"15"	"xlogp"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"16"	"tpsa"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"17"	"hbond_donor_count"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"18"	"hbond_acceptor_count"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"19"	"rotatable_bond_count"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"20"	"formal_charge"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"21"	"heavy_atom_count"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"22"	"ring_count"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"23"	"max_ring_size"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"24"	"amide_bond_count"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"25"	"computed_structural_class"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"26"	"molecule_types"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"27"	"form_count"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"28"	"source_record_count"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"29"	"source_database_count"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"30"	"source_databases"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"31"	"pubchem_cids"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"32"	"chembl_ids"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"33"	"chebi_ids"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"34"	"drugcentral_ids"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"35"	"gtopdb_ligand_ids"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"36"	"hmdb_ids"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"37"	"cas_numbers"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"38"	"synonym_count"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"39"	"development_status"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"40"	"max_chembl_phase"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"41"	"first_approval_year"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"42"	"is_approved_drug"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"43"	"is_clinical_candidate"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"44"	"is_endogenous_ligand"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"45"	"is_natural_product"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"46"	"is_chemical_probe"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"47"	"compound_category_tags"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"48"	"chebi_direct_classes"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"49"	"chebi_roles"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"50"	"record_qc_status"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"51"	"qc_notes"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"52"	"protein_target_count"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"53"	"best_binding_evidence_level"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"54"	"BE1_evidence_count"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"55"	"BE2_evidence_count"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"56"	"BE3_evidence_count"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"57"	"binding_evidence_count"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"58"	"binding_source_count"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"59"	"binding_sources"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"60"	"best_standard_value_nM"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"61"	"release_version"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"62"	"release_date"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"63"	"standardization_policy"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"64"	"incremental_evidence_run_v11"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"65"	"identity_refresh_v12"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"66"	"new_source_record_count_v12"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"67"	"release_version_v12"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"68"	"release_date_v12"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"69"	"negative_evidence_count_v13"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"70"	"negative_target_count_v13"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"71"	"positive_negative_conflict_pair_count_v13"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"72"	"negative_identity_refresh_v13"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"73"	"release_version_v13"
"entity"	"compound_master"	"compound_master_v72.tsv.gz"	"646670"	"74"	"release_date_v13"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"1"	"source_evidence_id"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"2"	"target_uniprot_id"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"3"	"approved_symbol"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"4"	"compound_source_id"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"5"	"compound_name"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"6"	"compound_internal_id"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"7"	"compound_form_id"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"8"	"compound_mapping_status"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"9"	"evidence_tier"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"10"	"evidence_type"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"11"	"activity_type"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"12"	"activity_relation"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"13"	"activity_value"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"14"	"activity_unit"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"15"	"standard_value_nM"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"16"	"activity_outcome"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"17"	"assay_or_mechanism"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"18"	"pdb_ids"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"19"	"binding_site_residues"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"20"	"source_database"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"21"	"source_version"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"22"	"source_record_id"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"23"	"source_url"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"24"	"record_qc_status"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"25"	"original_default_release_inclusion"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"26"	"original_exclusion_reason"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"27"	"review_bucket"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"28"	"review_reason"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"29"	"incremental_source"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"30"	"release_version"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"31"	"pubchem_aid"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"32"	"pubchem_sid"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"33"	"pubchem_cid"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"34"	"identity_resolution_v61"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"35"	"release_action_v61"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"36"	"release_version_v61"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"37"	"unmapped_reason_v61"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"38"	"negative_evidence_id_v62"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"39"	"exact_inchikey_v62"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"40"	"canonical_parent_inchikey_v62"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"41"	"canonical_relation_v62"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"42"	"identity_resolution_v62"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"43"	"positive_negative_conflict_flag_v62"
"audit"	"contextual_negative_evidence"	"contextual_negative_evidence_v72.tsv.gz"	"1"	"44"	"positive_negative_conflict_type_v62"
